C Unit,Status,Main Group Name,P Fixed Plan Net_Qty,ATP_Qty,Diff_Qty,Diff(%),snapshot_date
PME-EDG,Lock,,,,,,2025-10-17 00:00:00
PME-EDG,Lock,DISPLAY,,,,,2025-10-17 00:00:00
PME-EDG,Lock,HOME AV,405,378,-27,93.3%,2025-10-17 00:00:00
PME-EDG,Lock,DIGITAL IMAGING,0,0,0,0.0%,2025-10-17 00:00:00
PME-EDG,Lock,HEADPHONE + AV ACC,,,,,2025-10-17 00:00:00
PME-EDG,Lock,COMMUNICATION,6161,6159,-2,100.0%,2025-10-17 00:00:00
PME-EDG,Lock,KITCHEN APPLIANCE,,,,,2025-10-17 00:00:00
PME-EDG,Lock,LIVING BEAUTY,700,150,-550,21.4%,2025-10-17 00:00:00
PME-EDG,Lock,CONSUMER OTHER,,,,,2025-10-17 00:00:00
PME-PME,Lock,,,,,,2025-10-17 00:00:00
PME-PME,Lock,DISPLAY,,,,,2025-10-17 00:00:00
PME-PME,Lock,HOME AV,23558,23453,-105,99.6%,2025-10-17 00:00:00
PME-PME,Lock,DIGITAL IMAGING,8271,8271,0,100.0%,2025-10-17 00:00:00
PME-PME,Lock,HEADPHONE + AV ACC,22445,22055,-390,98.3%,2025-10-17 00:00:00
PME-PME,Lock,COMMUNICATION,56320,56320,0,100.0%,2025-10-17 00:00:00
PME-PME,Lock,KITCHEN APPLIANCE,27993,27993,0,100.0%,2025-10-17 00:00:00
PME-PME,Lock,LIVING BEAUTY,80717,75972,-4745,94.1%,2025-10-17 00:00:00
PME-PME,Lock,CONSUMER OTHER,,,,,2025-10-17 00:00:00
PUA-PUA,Lock,,,,,,2025-10-17 00:00:00
PUA-PUA,Lock,DISPLAY,,,,,2025-10-17 00:00:00
PUA-PUA,Lock,HOME AV,144,65,-79,45.1%,2025-10-17 00:00:00
PUA-PUA,Lock,DIGITAL IMAGING,129,129,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Lock,HEADPHONE + AV ACC,1665,1665,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Lock,COMMUNICATION,1233,1233,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Lock,KITCHEN APPLIANCE,1280,1280,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Lock,LIVING BEAUTY,385,385,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Lock,CONSUMER OTHER,,,,,2025-10-17 00:00:00
PME-EDG,Indication,,,,,,2025-10-17 00:00:00
PME-EDG,Indication,DISPLAY,,,,,2025-10-17 00:00:00
PME-EDG,Indication,HOME AV,46,0,-46,0.0%,2025-10-17 00:00:00
PME-EDG,Indication,DIGITAL IMAGING,52,7,-45,13.5%,2025-10-17 00:00:00
PME-EDG,Indication,HEADPHONE + AV ACC,,,,,2025-10-17 00:00:00
PME-EDG,Indication,COMMUNICATION,7036,7036,0,100.0%,2025-10-17 00:00:00
PME-EDG,Indication,KITCHEN APPLIANCE,,,,,2025-10-17 00:00:00
PME-EDG,Indication,LIVING BEAUTY,2120,1820,-300,85.8%,2025-10-17 00:00:00
PME-EDG,Indication,CONSUMER OTHER,,,,,2025-10-17 00:00:00
PME-PME,Indication,,,,,,2025-10-17 00:00:00
PME-PME,Indication,DISPLAY,,,,,2025-10-17 00:00:00
PME-PME,Indication,HOME AV,29612,27824,-1788,94.0%,2025-10-17 00:00:00
PME-PME,Indication,DIGITAL IMAGING,7462,1837,-5625,24.6%,2025-10-17 00:00:00
PME-PME,Indication,HEADPHONE + AV ACC,20485,18645,-1840,91.0%,2025-10-17 00:00:00
PME-PME,Indication,COMMUNICATION,34170,33144,-1026,97.0%,2025-10-17 00:00:00
PME-PME,Indication,KITCHEN APPLIANCE,22728,22728,0,100.0%,2025-10-17 00:00:00
PME-PME,Indication,LIVING BEAUTY,128710,125855,-2855,97.8%,2025-10-17 00:00:00
PME-PME,Indication,CONSUMER OTHER,,,,,2025-10-17 00:00:00
PUA-PUA,Indication,,,,,,2025-10-17 00:00:00
PUA-PUA,Indication,DISPLAY,,,,,2025-10-17 00:00:00
PUA-PUA,Indication,HOME AV,64,64,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Indication,DIGITAL IMAGING,81,81,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Indication,HEADPHONE + AV ACC,1340,1340,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Indication,COMMUNICATION,2259,2259,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Indication,KITCHEN APPLIANCE,2050,2050,0,100.0%,2025-10-17 00:00:00
PUA-PUA,Indication,LIVING BEAUTY,4416,4386,-30,99.3%,2025-10-17 00:00:00
PUA-PUA,Indication,CONSUMER OTHER,,,,,2025-10-17 00:00:00
